Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_Age_population,SIMD2020v2_Rank,SIMD_2020v2_Percentile,SIMD2020v2_Vigintile,SIMD2020v2_Decile,SIMD2020v2_Quintile,SIMD2020v2_Income_Domain_Rank,SIMD2020_Employment_Domain_Rank,SIMD2020_Health_Domain_Rank,SIMD2020_Education_Domain_Rank,SIMD2020_Access_Domain_Rank,SIMD2020_Crime_Domain_Rank,SIMD2020_Housing_Domain_Rank,income_rate,income_count,employment_rate,employment_count,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attendance,Attainment,no_qualifications,not_participating,University,crime_count,crime_rate,overcrowded_count,nocentralheating_count,overcrowded_rate,nocentralheating_rate,drive_petrol,drive_GP,drive_post,drive_primary,drive_retail,drive_secondary,PT_GP,PT_post,PT_retail,broadband,public_recycling_points,litter
S01010267,City Centre West,Glasgow City,1039,988,3207,46,10,5,3,4553,2883,5542,3295,5897,40,4,6%,64,9%,94,40,160,199,149,8%,12%,75,79%,*,45,6%,38%,204,1963,355,21,58%,3%,1.250581967,2.280557377,1.733598361,1.406831683,3.573336066,2.532173913,5.384606557,3.642680328,8.244278689,13%,1,2
S01010268,City Centre West,Glasgow City,843,731,3742,54,11,6,3,3404,3708,3421,4167,6455,1950,126,10%,84,7%,52,90,83,123,137,14%,8%,98,85%,6,79,11%,11%,28,334,210,76,29%,10%,2.644290012,2.314470517,2.034470517,1.397295082,2.349984958,1.842989691,7.100926594,6.501844164,6.83045728,0%,0,6
S01010269,City Centre West,Glasgow City,589,509,3559,52,11,6,3,3393,4176,3715,3290,5416,1107,75,10%,59,6%,30,90,217,140,110,11%,0%,88,*,*,110,0%,1%,28,478,169,62,32%,12%,3.119967228,2.661404494,2.065421348,2.250204082,2.694929775,1.966363636,7.516741573,5.862720037,6.11673221,6%,2,17
S01010270,City Centre West,Glasgow City,1286,928,389,6,2,1,1,432,369,253,1725,2503,369,569.5,30%,383,23%,216,215,635,372,141,24%,10%,165,75%,5,169,0%,6%,103,805,249,37,23%,3%,4.213183001,4.351561145,1.392664788,4.665984456,4.616049436,4.405571429,11.65147225,3.565641804,11.17898526,7%,6,8
S01010271,City Centre West,Glasgow City,800,672,2198,32,7,4,2,2507.5,3539,2792,1587,5321,14,101,14%,110,8%,51,110,317,139,105,11%,5%,120,78%,4.63,123,14%,10%,295,3692,268,27,37%,4%,2.431308442,3.177172078,1.761886364,2.002741935,3.548237013,1.745988372,7.294019481,3.989340909,7.923126623,16%,1,8
S01010272,City Centre South,Glasgow City,1342,1076,851,13,3,2,1,1000,970,1269,735,3787,497,47,24%,317,18%,190,175,264,216,134,14%,4%,133,74%,4.58,152,13%,4%,95,711,418,62,41%,6%,3.070037019,3.147909674,2.981786772,2.271944444,3.055979763,3.292826087,7.36375617,5.528580948,8.259202863,46%,4,5
S01010273,City Centre South,Glasgow City,800,742,4881,70,14,7,4,5907,6220,6939,5698,2386,86,31,3%,25,2%,18,25,11,23,17,6%,12%,45,*,n/a,53,,28%,117,1457,298,30,45%,5%,4.766532625,3.696938543,2.266168437,5.31047619,3.744563733,5.395,6.627602428,3.714066768,7.332697269,14%,0,12
S01010274,City Centre South,Glasgow City,697,623,4127,60,12,6,3,6478,6529,6585,2098,1738,3,400,2%,14,2%,12,25,76,42,112,6%,8%,77,*,*,62,10%,1%,599,8591,142,13,26%,2%,5.83403125,3.831638393,2.467357143,5.063873239,4.226825893,5.327,8.78003125,5.341084821,8.086227679,34%,1,3
S01010275,City Centre South,Glasgow City,932,871,4943,71,15,8,4,6233,6255,6231,6065,3615,1,13,2%,23,2%,20,45,95,36,86,7%,10%,59,*,n/a,50,0%,29%,1159,12441,305,27,52%,5%,3.677141667,2.7219,1.952295833,4.935104167,2.825525,4.737692308,5.522179167,3.786475,6.17495,39%,3,6
S01010276,Anderston,Glasgow City,1255,1050,5982,86,18,9,5,6925,6891,6920,2850,4432,2421,273,1%,10,1%,11,20,39,7,28,7%,4%,56,76%,n/a,51,17%,5%,35,280,281,42,28%,4%,3.412958207,2.44203424,3.6225428,3.310294118,1.984813696,4.168529412,8.680629406,9.736520645,8.220813192,0%,1,8
